AuthoritativeLabel,Predicate,Subject ARK,Sample Object,Object Counts
"Hansen, H. Lee",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2561045b,http://library.ucsd.edu/dc/object/bb0854506f,42
"Hoffmeister, J. Edward (John Edward), 1899-1991",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5496224j,http://library.ucsd.edu/dc/object/bb4745366c,17
Winterer,dams:personalName,http://library.ucsd.edu/ark:/20775/bb83631469,http://library.ucsd.edu/dc/object/bb0035436b,44
Lonsdale and Keigwin,dams:personalName,http://library.ucsd.edu/ark:/20775/bb57010068,http://library.ucsd.edu/dc/object/bb83631537,8
E. L. Winterer,dams:personalName,http://library.ucsd.edu/ark:/20775/bb5939917f,http://library.ucsd.edu/dc/object/bb32096528,19
"Castro, Américo, 1885-1972",dams:personalName,http://library.ucsd.edu/ark:/20775/bb19468836,http://library.ucsd.edu/dc/object/bb39257925,1
"Keigwin, L.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2083228p,http://library.ucsd.edu/dc/object/bb24586676,1
HAWKINS [AKA 15-46D],dams:personalName,http://library.ucsd.edu/ark:/20775/bb2322140d,http://library.ucsd.edu/dc/object/bb68955643,1
"O'Shea, Brian W.,  (Brian William), 1978-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb00013012,http://library.ucsd.edu/dc/object/bb0103691x,28
"Hallman, Eric J.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb38921204,http://library.ucsd.edu/dc/object/bb1673671n,29
"Burns, Jack O.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5189059h,http://library.ucsd.edu/dc/object/bb0103691x,28
"So, Geoffrey",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8704449q,http://library.ucsd.edu/dc/object/bb1673671n,29
"Norman, Michael L.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1298241v,http://library.ucsd.edu/dc/object/bb11617207,33
"Harkness, Robert",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2595180x,http://library.ucsd.edu/dc/object/bb1673671n,32
"Norris, Richard",dams:personalName,http://library.ucsd.edu/ark:/20775/bb78854103,http://library.ucsd.edu/dc/object/bb2936476d,1
"Jagatheesan, Arun",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8943361w,http://library.ucsd.edu/dc/object/bb75440309,2
"Brieger, Leesa",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0240210c,http://library.ucsd.edu/dc/object/bb75440309,2
"Barnett, Tim",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1537149w,http://library.ucsd.edu/dc/object/bb75440309,3
"Peirce, David",dams:personalName,http://library.ucsd.edu/ark:/20775/bb63494787,http://library.ucsd.edu/dc/object/bb75440309,2
"Moore, Reagan W. ",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7646419z,http://library.ucsd.edu/dc/object/bb75440309,3
"Graziani, Frank",dams:personalName,http://library.ucsd.edu/ark:/20775/bb98648707,http://library.ucsd.edu/dc/object/bb11617207,1
"York, Herbert F.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb49843555,http://library.ucsd.edu/dc/object/bb01378966,2
"Kritsuk, Alexei",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9421179m,http://library.ucsd.edu/dc/object/bb0718029h,1
"Padoan, Paolo",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8124240v,http://library.ucsd.edu/dc/object/bb0718029h,1
"Burns, Jack O.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5189060b,http://library.ucsd.edu/dc/object/bb1673671n,1
"O'Shea, Brian W. (Brian William ), 1978-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2629309z,http://library.ucsd.edu/dc/object/bb1673671n,1
"Norman, Michael L.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3926251w,http://library.ucsd.edu/dc/object/bb1673671n,1
"Weiner, Hannah",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1878457n,http://library.ucsd.edu/dc/object/bb72023947,6
"Brizuela, Anastasio",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5530535g,http://library.ucsd.edu/dc/object/bb1331911q,2
"Wright, Andrew H",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5291525n,http://library.ucsd.edu/dc/object/bb05129987,1
